countryCode,customerID,PaperlessDate,invoiceNumber,InvoiceDate,DueDate,InvoiceAmount,Disputed,SettledDate,PaperlessBill,DaysToSettle,DaysLate,LatePayment
391,5529-TBPGK,8/9/2013,202519703,2/10/2013,3/12/2013,77.26,No,3/13/2013,Paper,31,1,1
406,4640-FGEJI,4/4/2013,203036054,9/23/2012,10/23/2012,64.6,No,10/15/2012,Paper,22,0,0
406,5284-DJOZO,9/11/2012,204757285,1/13/2012,2/12/2012,54.44,No,1/27/2012,Paper,14,0,0
897,0688-XNJRO,6/24/2012,206372278,8/14/2013,9/13/2013,49.04,No,9/21/2013,Electronic,38,8,1
406,8389-TCXFQ,8/24/2012,208940420,12/1/2013,12/31/2013,70.45,Yes,1/4/2014,Electronic,34,4,1
391,8820-BLYDZ,3/19/2013,213324193,10/13/2012,11/12/2012,66.12,No,10/22/2012,Paper,9,0,0
391,9174-IYKOC,11/27/2012,217272343,9/22/2013,10/22/2013,49.88,Yes,10/23/2013,Electronic,31,1,1
391,3569-VJWXS,4/9/2013,218034886,2/1/2013,3/3/2013,38.64,No,3/5/2013,Paper,32,2,1
770,7050-KQLDO,9/29/2012,222477564,3/8/2012,4/7/2012,65.7,Yes,4/9/2012,Paper,32,2,1
818,5924-UOPGH,6/6/2013,232048622,3/14/2012,4/13/2012,67.6,No,4/11/2012,Paper,28,0,0
391,9174-IYKOC,11/27/2012,237437528,12/9/2012,1/8/2013,35.69,Yes,1/15/2013,Electronic,37,7,1
391,1080-NDGAE,9/28/2012,246081324,9/6/2012,10/6/2012,92.53,Yes,10/13/2012,Paper,37,7,1
897,9286-VLKMI,2/13/2013,254550541,12/28/2012,1/27/2013,61.59,No,1/8/2013,Paper,11,0,0
406,4640-FGEJI,4/4/2013,261246477,10/20/2013,11/19/2013,94.47,No,11/5/2013,Electronic,16,0,0
391,9174-IYKOC,11/27/2012,263678657,9/10/2012,10/10/2012,38,No,10/11/2012,Paper,31,1,1
391,8156-PCYBM,3/3/2012,270702396,10/31/2012,11/30/2012,50.24,No,11/25/2012,Electronic,25,0,0
818,5924-UOPGH,6/6/2013,273425635,2/7/2012,3/8/2012,113.76,Yes,3/19/2012,Paper,41,11,1
406,4092-ZAVRG,5/19/2012,274057720,5/7/2012,6/6/2012,50.96,No,5/13/2012,Paper,6,0,0
770,9928-IJYBQ,3/18/2012,277331044,11/2/2012,12/2/2012,73.25,No,11/26/2012,Electronic,24,0,0
770,3993-QUNVJ,12/31/2012,280670965,1/3/2012,2/2/2012,50.39,No,1/23/2012,Paper,20,0,0
391,0379-NEVHP,4/6/2013,281287578,10/28/2012,11/27/2012,76.81,No,11/19/2012,Paper,22,0,0
897,6177-VTITE,10/26/2012,282342168,2/6/2012,3/7/2012,63.28,No,2/20/2012,Paper,14,0,0
406,6048-QPZCF,7/13/2012,284482411,2/14/2013,3/16/2013,87.9,Yes,3/17/2013,Electronic,31,1,1
897,1408-OQZUE,9/14/2012,285510254,4/5/2012,5/5/2012,27.05,No,5/28/2012,Paper,53,23,1
897,8690-EEBEO,12/5/2012,286008070,2/26/2013,3/28/2013,53.45,No,3/31/2013,Electronic,33,3,1
406,8389-TCXFQ,8/24/2012,287254498,1/22/2012,2/21/2012,72.49,No,2/21/2012,Paper,30,0,0
406,4092-ZAVRG,5/19/2012,291694356,2/27/2013,3/29/2013,69.65,Yes,3/11/2013,Electronic,12,0,0
406,7600-OISKG,7/19/2013,296503272,7/3/2012,8/2/2012,61.25,Yes,8/7/2012,Paper,35,5,1
770,7758-WKLVM,2/6/2012,298536056,3/12/2013,4/11/2013,70.85,Yes,5/6/2013,Electronic,55,25,1
897,6177-VTITE,10/26/2012,299012002,11/29/2013,12/29/2013,41.97,No,12/13/2013,Electronic,14,0,0
770,7856-ODQFO,8/5/2012,300108731,11/30/2013,12/30/2013,49.71,Yes,1/6/2014,Electronic,37,7,1
391,5196-TWQXF,6/20/2012,302496633,7/4/2012,8/3/2012,72.65,No,7/26/2012,Electronic,22,0,0
406,6048-QPZCF,7/13/2012,308536412,11/25/2012,12/25/2012,73.73,No,12/1/2012,Electronic,6,0,0
406,3448-OWJOT,9/15/2012,312361525,7/5/2012,8/4/2012,66.13,Yes,8/13/2012,Paper,39,9,1
406,5284-DJOZO,9/11/2012,320318018,3/23/2013,4/22/2013,80.71,No,3/24/2013,Electronic,1,0,0
406,5284-DJOZO,9/11/2012,321937283,5/25/2013,6/24/2013,72.85,Yes,6/8/2013,Electronic,14,0,0
818,3568-JJMFW,1/9/2012,326671411,12/27/2012,1/26/2013,88.5,Yes,1/18/2013,Electronic,22,0,0
391,7841-HROAQ,9/15/2013,329307404,8/2/2012,9/1/2012,68.53,Yes,9/9/2012,Paper,38,8,1
818,5613-UHVMG,5/31/2012,333420180,11/10/2013,12/10/2013,60.6,Yes,12/12/2013,Electronic,32,2,1
818,3271-HYHDN,4/28/2013,354407690,4/12/2013,5/12/2013,45.56,No,4/17/2013,Paper,5,0,0
770,2447-JCFGW,7/31/2012,355095997,12/12/2012,1/11/2013,31.38,No,1/5/2013,Electronic,24,0,0
391,3598-DNURW,8/29/2012,360452276,1/30/2012,2/29/2012,56.37,No,2/20/2012,Paper,21,0,0
818,3271-HYHDN,4/28/2013,367399005,8/10/2013,9/9/2013,58.78,No,8/10/2013,Electronic,0,0,0
406,4092-ZAVRG,5/19/2012,368163381,8/23/2013,9/22/2013,62.68,Yes,9/11/2013,Electronic,19,0,0
770,7050-KQLDO,9/29/2012,371943035,10/24/2013,11/23/2013,76.69,No,11/15/2013,Electronic,22,0,0
391,5196-TWQXF,6/20/2012,374328279,7/8/2013,8/7/2013,60,No,8/2/2013,Electronic,25,0,0
770,7856-ODQFO,8/5/2012,374625254,4/3/2013,5/3/2013,37.82,No,4/25/2013,Electronic,22,0,0
897,9250-VHLWY,6/3/2013,374628242,5/9/2013,6/8/2013,29.93,No,5/28/2013,Paper,19,0,0
391,2125-HJDLA,5/22/2012,380292674,3/2/2013,4/1/2013,26.83,No,4/10/2013,Electronic,39,9,1
897,8942-ERSWK,1/11/2013,381841466,11/12/2013,12/12/2013,32.95,No,11/15/2013,Electronic,3,0,0
391,2820-XGXSB,1/26/2012,385813290,5/7/2012,6/6/2012,73.9,No,5/8/2012,Electronic,1,0,0
770,6077-FDQRK,9/11/2012,387380707,8/20/2012,9/19/2012,62.95,No,9/15/2012,Paper,26,0,0
818,3568-JJMFW,1/9/2012,391669562,8/8/2012,9/7/2012,71.98,Yes,9/4/2012,Electronic,27,0,0
406,7245-CKNCN,6/4/2012,401983784,8/17/2013,9/16/2013,51.6,No,9/4/2013,Electronic,18,0,0
897,8942-ERSWK,1/11/2013,420999665,4/21/2013,5/21/2013,34.12,Yes,5/10/2013,Electronic,19,0,0
391,3598-DNURW,8/29/2012,423629217,8/9/2012,9/8/2012,57.34,No,9/3/2012,Paper,25,0,0
406,5284-DJOZO,9/11/2012,428154463,5/3/2012,6/2/2012,39.51,No,5/21/2012,Paper,18,0,0
391,6708-DPYTF,8/2/2012,428957919,2/13/2012,3/14/2012,86.74,No,3/30/2012,Paper,46,16,1
406,4651-PMEXQ,7/4/2012,449356610,1/4/2013,2/3/2013,77.46,No,1/24/2013,Electronic,20,0,0
391,5529-TBPGK,8/9/2013,451448142,11/20/2012,12/20/2012,55.81,No,12/15/2012,Paper,25,0,0
406,7245-CKNCN,6/4/2012,472551457,7/20/2013,8/19/2013,66.28,No,8/4/2013,Electronic,15,0,0
391,0379-NEVHP,4/6/2013,476918544,2/14/2013,3/16/2013,55.21,No,3/3/2013,Paper,17,0,0
391,9014-WENVB,8/3/2013,479534953,4/13/2013,5/13/2013,65.83,No,6/2/2013,Paper,50,20,1
770,4460-ZXNDN,6/27/2013,485064626,10/6/2012,11/5/2012,80.31,No,11/13/2012,Paper,38,8,1
770,7856-ODQFO,8/5/2012,488925270,5/18/2013,6/17/2013,40.54,No,6/7/2013,Electronic,20,0,0
770,0706-NRGUP,4/9/2013,489697015,4/16/2012,5/16/2012,41.44,No,5/22/2012,Paper,36,6,1
770,6831-FIODB,5/8/2013,490252754,5/8/2013,6/7/2013,36.29,No,6/14/2013,Paper,37,7,1
770,2687-XWAMA,4/3/2013,493580936,6/17/2012,7/17/2012,60.22,Yes,7/24/2012,Paper,37,7,1
391,9212-BTDMX,4/22/2012,496849530,6/2/2013,7/2/2013,59.71,No,6/16/2013,Electronic,14,0,0
897,6296-UKEUZ,11/26/2012,497305913,11/7/2012,12/7/2012,54.74,Yes,11/29/2012,Paper,22,0,0
406,6048-QPZCF,7/13/2012,498009655,8/24/2012,9/23/2012,76.34,Yes,9/19/2012,Electronic,26,0,0
897,1408-OQZUE,9/14/2012,500975230,4/18/2013,5/18/2013,37.81,No,5/23/2013,Electronic,35,5,1
897,6177-VTITE,10/26/2012,511851896,12/26/2012,1/25/2013,8.27,No,1/6/2013,Electronic,11,0,0
391,8156-PCYBM,3/3/2012,512194602,3/28/2012,4/27/2012,64.4,No,4/28/2012,Electronic,31,1,1
770,0465-DTULQ,3/4/2013,514496777,9/14/2012,10/14/2012,32.86,No,10/17/2012,Paper,33,3,1
770,7228-LEPPM,4/30/2012,519700354,3/9/2012,4/8/2012,32.17,No,4/18/2012,Paper,40,10,1
897,9883-SDWFS,7/8/2013,523612895,4/17/2012,5/17/2012,28.77,No,5/24/2012,Paper,37,7,1
391,6632-CGYHU,1/8/2013,524611481,10/5/2012,11/4/2012,57.86,No,10/23/2012,Paper,18,0,0
406,5573-KSOIA,9/30/2013,524798729,10/19/2013,11/18/2013,57.78,No,11/16/2013,Electronic,28,0,0
406,5164-VMYWJ,11/27/2013,528993923,2/22/2013,3/24/2013,90.22,No,3/14/2013,Paper,20,0,0
391,6160-HCSFI,1/10/2013,533597326,8/20/2012,9/19/2012,65.49,No,9/12/2012,Paper,23,0,0
391,5529-TBPGK,8/9/2013,535335924,7/10/2012,8/9/2012,57.88,No,8/21/2012,Paper,42,12,1
391,2676-DZINU,10/19/2012,535641538,4/26/2012,5/26/2012,65.01,No,5/18/2012,Paper,22,0,0
406,2621-XCLEH,9/24/2012,537837854,2/21/2012,3/22/2012,79.51,No,4/7/2012,Paper,46,16,1
406,8389-TCXFQ,8/24/2012,540061441,1/30/2013,3/1/2013,85.5,No,2/13/2013,Electronic,14,0,0
897,6177-VTITE,10/26/2012,540659475,2/5/2013,3/7/2013,39.33,Yes,3/6/2013,Electronic,29,0,0
770,7050-KQLDO,9/29/2012,552732928,6/16/2013,7/16/2013,62.26,No,7/3/2013,Electronic,17,0,0
406,9725-EZTEJ,3/17/2012,555108669,5/2/2012,6/1/2012,116.78,Yes,5/23/2012,Electronic,21,0,0
770,4460-ZXNDN,6/27/2013,557941160,9/1/2013,10/1/2013,73.77,Yes,10/16/2013,Electronic,45,15,1
818,8887-NCUZC,1/22/2013,561711596,4/16/2013,5/16/2013,37.38,Yes,5/21/2013,Electronic,35,5,1
818,5875-VZQCZ,7/15/2013,565497922,10/30/2012,11/29/2012,60.8,No,11/24/2012,Paper,25,0,0
770,4460-ZXNDN,6/27/2013,572625167,5/24/2013,6/23/2013,102.98,No,6/25/2013,Paper,32,2,1
406,4640-FGEJI,4/4/2013,572998733,4/19/2012,5/19/2012,70.02,No,5/21/2012,Paper,32,2,1
897,0688-XNJRO,6/24/2012,578091983,12/13/2012,1/12/2013,36.09,No,1/30/2013,Electronic,48,18,1
897,9883-SDWFS,7/8/2013,586870094,3/29/2012,4/28/2012,14.94,Yes,5/13/2012,Paper,45,15,1
391,5529-TBPGK,8/9/2013,588467684,3/12/2013,4/11/2013,46.63,No,4/11/2013,Paper,30,0,0
391,0709-LZRJV,6/20/2013,598324396,7/7/2012,8/6/2012,10.92,No,8/16/2012,Paper,40,10,1
818,8887-NCUZC,1/22/2013,601440262,5/30/2012,6/29/2012,42.76,Yes,7/9/2012,Paper,40,10,1
391,9841-XLGBV,1/3/2013,601606458,10/25/2012,11/24/2012,50.97,No,11/16/2012,Paper,22,0,0
391,9212-BTDMX,4/22/2012,604769805,2/21/2013,3/23/2013,73.59,No,3/1/2013,Electronic,8,0,0
770,9928-IJYBQ,3/18/2012,606876865,3/9/2013,4/8/2013,46.61,No,4/16/2013,Electronic,38,8,1
406,4092-ZAVRG,5/19/2012,607578995,9/28/2012,10/28/2012,60.14,No,10/4/2012,Electronic,6,0,0
391,2820-XGXSB,1/26/2012,608187073,5/25/2013,6/24/2013,56.09,No,5/28/2013,Electronic,3,0,0
391,0709-LZRJV,6/20/2013,608905626,9/27/2012,10/27/2012,61.07,No,10/23/2012,Paper,26,0,0
406,4640-FGEJI,4/4/2013,613092852,3/7/2013,4/6/2013,90.34,No,4/8/2013,Paper,32,2,1
818,3568-JJMFW,1/9/2012,617172736,4/3/2013,5/3/2013,77.79,Yes,5/3/2013,Electronic,30,0,0
818,6627-ELFBK,11/26/2012,620329407,2/15/2013,3/17/2013,76.5,Yes,4/1/2013,Electronic,45,15,1
406,7938-EVASK,12/15/2012,624274413,8/14/2013,9/13/2013,44.09,No,9/24/2013,Electronic,41,11,1
770,2447-JCFGW,7/31/2012,627613977,4/6/2012,5/6/2012,35.67,No,5/3/2012,Paper,27,0,0
897,7654-DOLHO,4/4/2012,631345640,9/19/2013,10/19/2013,23.62,No,10/13/2013,Electronic,24,0,0
770,9149-MATVB,4/30/2013,633253847,4/1/2013,5/1/2013,50.95,No,4/25/2013,Paper,24,0,0
770,9149-MATVB,4/30/2013,640587193,12/24/2012,1/23/2013,64.18,No,1/18/2013,Paper,25,0,0
406,4651-PMEXQ,7/4/2012,641122100,11/3/2012,12/3/2012,49.01,No,11/28/2012,Electronic,25,0,0
391,1080-NDGAE,9/28/2012,641300165,9/12/2013,10/12/2013,94.57,Yes,10/14/2013,Electronic,32,2,1
818,8887-NCUZC,1/22/2013,641436694,2/11/2013,3/13/2013,26.37,No,3/4/2013,Electronic,21,0,0
391,7841-HROAQ,9/15/2013,642684114,6/20/2012,7/20/2012,63.36,No,7/8/2012,Paper,18,0,0
391,2125-HJDLA,5/22/2012,645045061,10/26/2012,11/25/2012,43.18,No,11/24/2012,Electronic,29,0,0
391,6160-HCSFI,1/10/2013,647569317,10/20/2013,11/19/2013,92.57,No,11/1/2013,Electronic,12,0,0
818,8887-NCUZC,1/22/2013,649688883,11/3/2013,12/3/2013,52.14,No,11/28/2013,Electronic,25,0,0
391,5920-DPXLN,11/11/2012,649771974,4/26/2013,5/26/2013,68.35,No,5/7/2013,Electronic,11,0,0
818,8364-UWVLM,11/10/2012,658936368,5/17/2013,6/16/2013,69.82,No,6/3/2013,Electronic,17,0,0
406,5573-KSOIA,9/30/2013,659596494,12/5/2012,1/4/2013,75.65,Yes,1/14/2013,Paper,40,10,1
818,8102-ABPKQ,8/29/2013,666874152,8/18/2012,9/17/2012,57.38,Yes,9/29/2012,Paper,42,12,1
391,2125-HJDLA,5/22/2012,672948510,11/9/2012,12/9/2012,57.37,No,12/5/2012,Electronic,26,0,0
818,5924-UOPGH,6/6/2013,674518601,7/28/2012,8/27/2012,94.42,No,8/18/2012,Paper,21,0,0
818,1604-LIFKX,3/16/2013,676551273,10/13/2012,11/12/2012,82.74,No,12/1/2012,Paper,49,19,1
770,7260-ZHAKS,6/17/2012,678458928,8/21/2012,9/20/2012,67.74,No,9/7/2012,Electronic,17,0,0
770,2026-XLBER,11/12/2012,679404840,10/7/2013,11/6/2013,49.73,No,10/17/2013,Electronic,10,0,0
818,9181-HEKGV,10/16/2013,681101344,8/27/2012,9/26/2012,85.06,No,9/22/2012,Paper,26,0,0
406,7600-OISKG,7/19/2013,681889913,7/24/2013,8/23/2013,48.17,Yes,8/22/2013,Electronic,29,0,0
770,9928-IJYBQ,3/18/2012,684720070,4/3/2012,5/3/2012,66.25,Yes,5/15/2012,Electronic,42,12,1
406,9725-EZTEJ,3/17/2012,685917930,10/13/2012,11/12/2012,124.38,Yes,11/10/2012,Electronic,28,0,0
818,9181-HEKGV,10/16/2013,689403769,9/29/2013,10/29/2013,76.09,Yes,11/11/2013,Paper,43,13,1
406,7600-OISKG,7/19/2013,700683520,2/11/2012,3/12/2012,65.67,Yes,3/12/2012,Paper,30,0,0
391,8820-BLYDZ,3/19/2013,703104577,3/31/2013,4/30/2013,73.49,No,4/2/2013,Electronic,2,0,0
406,5284-DJOZO,9/11/2012,704405155,4/28/2012,5/28/2012,67.34,No,5/15/2012,Paper,17,0,0
406,1447-YZKCL,8/10/2012,705084741,5/2/2013,6/1/2013,56.39,No,5/28/2013,Electronic,26,0,0
406,7600-OISKG,7/19/2013,706375400,5/12/2013,6/11/2013,54.99,Yes,6/15/2013,Paper,34,4,1
897,3271-YDPUJ,4/2/2013,725765758,4/8/2012,5/8/2012,76.71,Yes,5/25/2012,Paper,47,17,1
770,6831-FIODB,5/8/2013,726197794,4/11/2013,5/11/2013,41.94,Yes,5/22/2013,Paper,41,11,1
818,8102-ABPKQ,8/29/2013,728378151,6/25/2013,7/25/2013,80.68,Yes,8/8/2013,Paper,44,14,1
818,6004-KITZM,9/1/2013,733170200,12/9/2012,1/8/2013,71.71,No,12/29/2012,Paper,20,0,0
897,1408-OQZUE,9/14/2012,739678368,7/4/2013,8/3/2013,42.36,No,8/6/2013,Electronic,33,3,1
897,8690-EEBEO,12/5/2012,744801013,3/1/2013,3/31/2013,61.04,No,4/7/2013,Electronic,37,7,1
391,9212-BTDMX,4/22/2012,744808791,12/13/2012,1/12/2013,53.91,No,12/28/2012,Electronic,15,0,0
770,0625-TNJFG,8/15/2013,748230672,5/11/2013,6/10/2013,53.01,No,6/5/2013,Paper,25,0,0
770,6831-FIODB,5/8/2013,750411142,11/27/2012,12/27/2012,59.71,No,12/29/2012,Paper,32,2,1
406,5284-DJOZO,9/11/2012,750477087,10/24/2012,11/23/2012,94.88,No,10/26/2012,Electronic,2,0,0
770,5592-UQXSS,12/31/2012,755429128,10/6/2013,11/5/2013,43.12,Yes,11/10/2013,Electronic,35,5,1
897,0688-XNJRO,6/24/2012,760825845,8/10/2013,9/9/2013,40.58,No,9/18/2013,Electronic,39,9,1
770,0625-TNJFG,8/15/2013,761602627,9/7/2013,10/7/2013,64.16,Yes,10/18/2013,Electronic,41,11,1
391,9174-IYKOC,11/27/2012,762698565,5/12/2012,6/11/2012,74.7,No,6/4/2012,Paper,23,0,0
818,5613-UHVMG,5/31/2012,764361492,11/17/2012,12/17/2012,63.8,Yes,1/5/2013,Electronic,49,19,1
406,5573-KSOIA,9/30/2013,769617971,1/17/2013,2/16/2013,86.27,Yes,2/28/2013,Paper,42,12,1
818,8364-UWVLM,11/10/2012,773493683,9/15/2013,10/15/2013,65.36,Yes,10/21/2013,Electronic,36,6,1
406,5164-VMYWJ,11/27/2013,775479959,9/1/2013,10/1/2013,65.9,No,10/3/2013,Paper,32,2,1
406,3448-OWJOT,9/15/2012,781909762,7/30/2013,8/29/2013,66.71,Yes,9/9/2013,Electronic,41,11,1
770,6077-FDQRK,9/11/2012,784468555,9/25/2013,10/25/2013,18.9,Yes,10/25/2013,Electronic,30,0,0
406,4640-FGEJI,4/4/2013,806089606,9/12/2013,10/12/2013,76.18,Yes,10/5/2013,Electronic,23,0,0
406,9758-AIEIK,4/23/2012,816501620,8/20/2012,9/19/2012,33.82,No,9/7/2012,Electronic,18,0,0
391,9212-BTDMX,4/22/2012,818753502,1/15/2013,2/14/2013,48.18,No,2/4/2013,Electronic,20,0,0
406,5573-KSOIA,9/30/2013,822444456,10/13/2012,11/12/2012,102.61,Yes,11/30/2012,Paper,48,18,1
391,7209-MDWKR,10/9/2013,826558350,6/24/2013,7/24/2013,49.68,No,7/30/2013,Paper,36,6,1
391,5196-TWQXF,6/20/2012,828222998,4/13/2012,5/13/2012,77.6,No,5/18/2012,Paper,35,5,1
897,8942-ERSWK,1/11/2013,839049806,9/18/2013,10/18/2013,19.82,No,9/22/2013,Electronic,4,0,0
391,6708-DPYTF,8/2/2012,839756390,11/25/2013,12/25/2013,76.18,No,12/31/2013,Electronic,36,6,1
406,5284-DJOZO,9/11/2012,847327295,8/4/2012,9/3/2012,72.95,Yes,9/9/2012,Paper,36,6,1
391,1080-NDGAE,9/28/2012,857712918,2/22/2013,3/24/2013,93.39,Yes,4/4/2013,Electronic,41,11,1
406,0783-PEPYR,11/27/2013,858258272,9/30/2013,10/30/2013,43.67,No,11/10/2013,Paper,41,11,1
391,5196-TWQXF,6/20/2012,863594173,2/25/2012,3/26/2012,65.6,No,4/1/2012,Paper,36,6,1
391,0379-NEVHP,4/6/2013,869802822,9/1/2012,10/1/2012,69.55,No,9/23/2012,Paper,22,0,0
406,6048-QPZCF,7/13/2012,870792057,3/19/2012,4/18/2012,73.92,No,3/24/2012,Paper,5,0,0
818,5875-VZQCZ,7/15/2013,872319562,9/18/2013,10/18/2013,46.17,No,10/2/2013,Electronic,14,0,0
391,5920-DPXLN,11/11/2012,873433318,5/5/2012,6/4/2012,82.2,No,5/24/2012,Paper,19,0,0
