LoyaltyCardID,Region,Age,Bikes
16393,Europe,33,3
11025,Pacific,67,3
11191,North America,67,3
13139,Pacific,51,3
12620,Europe,44,3
16565,Europe,44,3
14697,Europe,41,3
13971,Pacific,44,3
12283,Europe,38,3
13079,Pacific,56,3
11460,Pacific,35,3
13038,Pacific,57,3
17779,Europe,44,3
12619,Europe,43,3
13106,Pacific,45,3
12459,Europe,44,3
15085,Europe,43,3
13631,Pacific,40,3
11756,Pacific,44,3
11944,Pacific,62,3
11479,Europe,40,3
12687,Pacific,41,3
14211,Pacific,32,3
11759,Pacific,37,3
16045,Europe,49,3
13626,Pacific,34,3
12668,Pacific,37,3
15086,Europe,38,3
13782,Europe,40,3
13076,Pacific,58,3
17834,Europe,50,3
14261,Pacific,60,3
14847,Europe,39,3
14146,Europe,53,3
15631,Europe,41,3
11039,Pacific,64,3
11447,Pacific,38,3
11047,Pacific,63,3
20861,Europe,43,3
12384,Europe,39,3
11988,Pacific,50,3
13012,Pacific,47,3
12360,Pacific,41,3
13602,Europe,62,3
11070,Pacific,58,3
11090,North America,49,3
16603,Europe,65,3
11992,Pacific,46,3
11360,Pacific,34,3
11126,Pacific,64,3
11353,Europe,71,3
14238,Pacific,42,3
15933,Europe,52,3
11462,Pacific,41,3
19476,Europe,41,3
17185,Europe,55,3
11968,Pacific,54,3
12216,Europe,51,3
11550,Europe,39,3
17648,Europe,42,3
11496,Europe,42,3
14666,Pacific,38,3
13685,Europe,34,3
11095,Pacific,50,3
12000,Pacific,48,3
11046,Pacific,63,3
17986,Europe,40,3
13960,Pacific,45,3
16821,Europe,54,3
14305,Pacific,50,3
12355,Pacific,34,3
15116,Europe,57,3
17825,Europe,49,3
17767,Europe,43,3
15923,Europe,51,3
13114,Pacific,46,3
17221,Europe,63,3
11993,Pacific,41,3
12003,Pacific,39,3
13607,Europe,58,3
15094,Europe,63,3
14071,Pacific,54,3
16425,Europe,47,3
19325,Europe,46,3
12807,Europe,44,3
16261,Europe,34,3
15695,Europe,58,3
11344,Europe,55,3
13408,Europe,56,3
14162,Europe,43,3
15080,Europe,32,3
15932,Europe,57,3
11488,Europe,41,3
12210,Europe,34,3
13133,Pacific,53,3
18133,Europe,40,3
11099,Pacific,52,3
11964,Pacific,51,3
12999,Pacific,45,3
13964,Pacific,47,3
15129,Pacific,34,3
13590,Europe,59,3
13132,Pacific,54,3
12705,Pacific,38,3
12289,Europe,34,3
14058,Pacific,42,3
14207,Europe,65,3
14702,Europe,40,3
11017,Pacific,68,3
20923,Europe,49,3
14316,Pacific,51,3
14101,Pacific,70,3
11453,Pacific,34,3
12706,Pacific,38,3
13784,Europe,47,3
13559,Europe,43,3
14937,Europe,35,3
11033,Pacific,60,3
14326,Pacific,56,3
15056,Europe,54,3
14940,Europe,40,3
17781,Europe,45,3
12995,Pacific,42,3
12398,Europe,41,3
11904,Pacific,32,3
11493,Europe,42,3
12215,Europe,50,3
11908,Pacific,46,3
15117,Europe,63,3
19340,Europe,47,3
12703,Pacific,41,3
11489,Europe,42,3
16830,Europe,57,3
12381,Europe,33,3
12390,Europe,35,3
11994,Pacific,41,3
14236,Pacific,36,3
13105,Pacific,50,3
13591,Europe,54,3
17811,Europe,46,3
11610,Europe,38,3
11575,Europe,48,3
13697,Europe,41,3
11058,Pacific,53,3
13119,Pacific,47,3
13770,Europe,44,3
11096,Pacific,50,3
11031,Pacific,65,3
12989,Pacific,43,3
11766,Pacific,46,3
14791,Europe,45,3
11900,Pacific,37,3
16448,Europe,51,3
15661,Europe,53,3
14843,Europe,37,3
13765,Europe,44,3
15662,Europe,52,3
11009,Pacific,49,3
13600,Europe,62,3
12339,Pacific,36,3
11929,Pacific,56,3
11365,Pacific,33,3
13007,Pacific,47,3
15925,Europe,56,3
17199,Europe,61,3
12609,Europe,53,3
12382,Europe,34,3
11547,Europe,39,3
18626,Europe,40,3
12397,Europe,43,3
14051,Pacific,36,3
11568,Europe,46,3
16204,Europe,36,3
18135,Europe,50,3
16298,Europe,49,3
14215,Pacific,37,3
13115,Pacific,35,3
13126,Pacific,49,3
11004,Pacific,39,3
12287,Europe,61,3
18139,Europe,47,3
12647,Europe,55,3
14830,Europe,44,3
16203,Europe,42,3
13251,Europe,44,3
14991,Europe,37,3
14234,Pacific,42,3
15677,Europe,43,3
11263,North America,48,3
11257,North America,80,3
12686,Pacific,40,3
14716,Europe,36,3
16831,Europe,57,3
14235,Pacific,37,3
11444,Pacific,37,3
11105,Pacific,48,3
14681,Pacific,39,3
14833,Europe,50,3
13560,Europe,38,3
15062,Europe,52,3
14224,Pacific,34,3
14950,Europe,43,3
13638,Pacific,40,3
15122,Pacific,36,3
18019,Europe,49,3
14048,Pacific,51,3
16392,Europe,44,3
20722,Europe,41,3
12510,Europe,50,3
12640,Europe,53,3
14181,Europe,66,3
11452,Pacific,39,3
11069,Pacific,52,3
11093,Pacific,40,3
11451,Pacific,38,3
12634,Europe,67,3
12011,Pacific,78,3
14020,Pacific,58,3
12349,Pacific,38,3
15106,Europe,47,3
12648,Europe,61,3
11029,Pacific,66,3
11003,Pacific,45,3
17202,Europe,68,3
16309,Europe,50,3
15678,Europe,38,3
11171,North America,40,3
13841,Europe,39,3
12394,Europe,36,3
13581,Europe,66,3
12701,Pacific,36,3
12738,Europe,39,3
19339,Europe,46,3
11765,Pacific,35,3
13090,Pacific,53,3
13777,Europe,45,3
12463,Europe,44,3
14038,Pacific,53,3
15700,Europe,60,3
11381,Europe,48,3
19364,Europe,45,3
13553,Europe,38,3
19298,Europe,32,3
13253,Europe,43,3
13822,Europe,50,3
17093,Europe,39,3
12272,Europe,53,3
11767,Pacific,41,3
14047,Pacific,50,3
15685,Europe,68,3
16822,Europe,54,3
11035,Pacific,65,3
16206,Europe,41,3
11468,Europe,37,3
11895,Pacific,43,3
13637,Pacific,40,3
15121,Pacific,36,3
15637,Europe,41,3
12670,Pacific,37,3
14039,Pacific,48,3
14191,Europe,56,3
12005,Pacific,45,3
15692,Europe,59,3
12380,Europe,39,3
17983,Europe,45,3
11455,Pacific,39,3
19453,Europe,40,3
12658,Europe,58,3
14163,Europe,43,3
13112,Pacific,40,3
13001,Pacific,43,3
11341,Europe,76,3
13011,Pacific,47,3
11151,Pacific,71,3
17182,Europe,54,3
13651,Pacific,41,3
11080,Pacific,53,3
14275,Pacific,58,3
17209,Europe,59,3
14300,Pacific,46,3
13091,Pacific,48,3
14324,Pacific,56,3
14171,Europe,68,3
13111,Pacific,51,3
11343,Europe,43,3
14299,Pacific,45,3
12559,Europe,72,3
11990,Pacific,50,3
13130,Pacific,48,3
11117,Pacific,52,3
11459,Pacific,40,3
17985,Europe,46,3
11461,Pacific,41,3
17184,Europe,56,3
11464,Pacific,41,3
12991,Pacific,39,3
14055,Pacific,52,3
12684,Pacific,39,3
11943,Pacific,64,3
14719,Europe,43,3
16828,Europe,51,3
12623,Europe,60,3
12039,Pacific,70,3
13690,Europe,41,3
12599,Europe,47,3
11259,North America,48,3
11333,Europe,50,3
11388,Europe,53,3
11976,Pacific,48,3
15058,Europe,47,3
13108,Pacific,50,3
12673,Pacific,37,3
11018,Pacific,63,3
11967,Pacific,56,3
15691,Europe,58,3
15097,Europe,68,3
18147,Europe,68,3
11892,Pacific,43,3
11147,Pacific,74,3
13075,Pacific,58,3
11450,Pacific,37,3
11963,Pacific,57,3
19197,Europe,42,3
18127,Europe,54,3
16199,Europe,40,3
11044,Pacific,63,3
13769,Europe,44,3
15688,Europe,67,3
13973,Pacific,48,3
13122,Pacific,47,3
14429,Europe,57,3
11986,Pacific,49,3
14203,Europe,65,3
12281,Europe,37,3
13252,Europe,54,3
11914,Pacific,39,3
20716,Europe,39,3
15114,Europe,61,3
16595,Europe,60,3
14031,Pacific,52,3
17191,Europe,57,3
15699,Europe,59,3
14012,Pacific,46,3
13968,Pacific,48,3
11028,Pacific,67,3
12675,Pacific,34,3
14306,Pacific,51,3
11401,Europe,43,3
13082,Pacific,55,3
13975,Pacific,43,3
16404,Europe,45,3
14308,Pacific,35,3
13556,Europe,43,3
13648,Pacific,37,3
14045,Pacific,46,3
12462,Europe,44,3
11002,Pacific,47,3
17183,Europe,49,3
14063,Pacific,43,3
12328,Europe,63,3
12754,Europe,37,3
14949,Europe,48,3
14030,Pacific,57,3
14198,Europe,63,3
11481,Europe,39,3
13104,Pacific,44,3
14424,Europe,44,3
16829,Europe,51,3
16054,Europe,56,3
11918,Pacific,49,3
12699,Pacific,43,3
11443,Pacific,36,3
15625,Europe,40,3
11006,Pacific,41,3
14771,Europe,44,3
18136,Europe,51,3
13113,Pacific,46,3
14230,Pacific,41,3
13643,Pacific,42,3
14941,Europe,46,3
14773,Europe,45,3
13616,Pacific,37,3
13103,Pacific,49,3
13955,Pacific,43,3
11008,Pacific,43,3
14287,Pacific,42,3
12874,Europe,38,3
13647,Pacific,42,3
13974,Pacific,48,3
12404,Europe,36,3
15357,Europe,52,3
17647,Europe,41,3
15660,Europe,53,3
11484,Europe,35,3
13644,Pacific,43,3
14218,Pacific,33,3
14062,Pacific,48,3
11750,Pacific,34,3
14310,Pacific,41,3
11364,Pacific,33,3
15929,Europe,56,3
12340,Pacific,36,3
11359,Pacific,34,3
14667,Pacific,42,3
15626,Europe,35,3
14775,Europe,33,3
16424,Europe,46,3
17984,Europe,46,3
13118,Pacific,52,3
13583,Europe,58,3
16587,Europe,59,3
12315,Europe,59,3
11915,Pacific,45,3
11007,Pacific,48,3
17103,Europe,40,3
16207,Europe,36,3
12630,Europe,58,3
14214,Pacific,37,3
12560,Europe,73,3
12004,Pacific,43,3
16589,Europe,60,3
17780,Europe,45,3
11947,Pacific,61,3
11916,Pacific,42,3
13049,Pacific,59,3
17214,Europe,60,3
11048,Pacific,62,3
12214,Europe,50,3
13625,Pacific,33,3
12486,Europe,38,3
15926,Europe,57,3
12358,Pacific,43,3
12337,Pacific,37,3
13619,Pacific,36,3
15093,Europe,69,3
12526,Europe,32,3
17976,Europe,44,3
18158,Europe,59,3
11603,Europe,36,3
16826,Europe,49,3
11052,Pacific,61,3
11446,Pacific,38,3
13540,Europe,42,3
19454,Europe,45,3
11100,Pacific,52,3
17218,Europe,63,3
17203,Europe,68,3
12347,Pacific,38,3
13630,Pacific,41,3
14103,Pacific,69,3
21037,Europe,38,3
11751,Pacific,42,3
13109,Pacific,45,3
15095,Europe,68,3
12698,Pacific,37,3
15440,Europe,39,3
11000,Pacific,47,3
11491,Europe,36,3
16827,Europe,45,3
19196,Europe,37,3
12653,Europe,63,3
12001,Pacific,36,3
19031,Europe,55,3
11337,Europe,51,3
11394,Europe,43,3
11946,Pacific,62,3
11762,Pacific,34,3
11899,Pacific,42,3
12644,Europe,59,3
12350,Pacific,34,3
13117,Pacific,47,3
11906,Pacific,46,3
13957,Pacific,39,3
13411,Europe,57,3
14846,Europe,32,3
16310,Europe,45,3
13771,Europe,38,3
17192,Europe,52,3
12685,Pacific,41,3
11387,Europe,53,3
13107,Pacific,50,3
12346,Pacific,37,3
17651,Europe,43,3
11604,Europe,35,3
13551,Europe,43,3
11055,Pacific,61,3
12693,Pacific,42,3
13618,Pacific,36,3
13965,Pacific,41,3
20912,Europe,46,3
18126,Europe,54,3
14150,Europe,54,3
14668,Pacific,43,3
14049,Pacific,50,3
13620,Pacific,37,3
13649,Pacific,41,3
15676,Europe,44,3
14226,Pacific,40,3
11449,Pacific,38,3
13794,Europe,48,3
13077,Pacific,51,3
11483,Europe,35,3
11252,North America,80,3
11076,Pacific,55,3
16263,Europe,45,3
11175,North America,50,3
14947,Europe,42,3
11134,Pacific,61,3
14220,Pacific,33,3
15928,Europe,56,3
16585,Europe,58,3
14276,Pacific,57,3
11057,Pacific,48,3
12338,Pacific,36,3
11011,Pacific,49,3
14325,Pacific,55,3
12318,Europe,59,3
11920,Pacific,43,3
11991,Pacific,50,3
12859,Europe,50,3
11077,Pacific,55,3
12677,Pacific,38,3
11097,Pacific,46,3
11372,Pacific,34,3
11092,Pacific,45,3
13135,Pacific,55,3
14928,Europe,45,3
13517,Europe,70,3
11903,Pacific,33,3
12271,Europe,53,3
17225,Europe,64,3
17964,Europe,43,3
11482,Europe,40,3
14427,Europe,56,3
14790,Europe,46,3
15652,Europe,51,3
11034,Pacific,65,3
11101,Pacific,47,3
12385,Europe,40,3
13134,Pacific,78,3
11001,Pacific,42,3
13254,Europe,55,3
11005,Pacific,42,3
14277,Pacific,51,3
14195,Europe,62,3
14157,Europe,38,3
16286,Europe,40,3
20051,Europe,35,3
14216,Pacific,32,3
14264,Pacific,59,3
12009,Pacific,55,3
12990,Pacific,43,3
11054,Pacific,61,3
15048,Europe,51,3
12264,Europe,42,3
11901,Pacific,45,3
12348,Pacific,39,3
18166,Europe,59,3
15100,Europe,66,3
18005,Europe,46,3
19032,Europe,56,3
11120,Pacific,76,3
12282,Europe,37,3
14262,Pacific,53,3
15453,Europe,49,3
11110,Pacific,50,3
11998,Pacific,52,3
11615,Europe,37,3
12492,Europe,46,3
12637,Europe,67,3
13629,Pacific,40,3
11996,Pacific,52,3
13089,Pacific,53,3
13160,Pacific,70,3
16575,Europe,68,3
15101,Europe,66,3
18130,Europe,56,3
15702,Europe,60,3
14259,Pacific,60,3
14428,Europe,57,3
15133,Pacific,39,3
14164,Europe,37,3
11548,Europe,44,3
11942,Pacific,63,3
12354,Pacific,34,3
16426,Europe,46,3
12621,Europe,37,3
11112,Pacific,50,3
11910,Pacific,46,3
13050,Pacific,59,3
11109,Pacific,38,3
14032,Pacific,57,3
14065,Pacific,49,3
17778,Europe,39,3
17198,Europe,68,3
11480,Europe,34,3
11107,Pacific,42,3
17220,Europe,64,3
11445,Pacific,38,3
15623,Europe,40,3
14984,Europe,34,3
15931,Europe,58,3
13080,Pacific,50,3
16307,Europe,44,3
11104,Pacific,43,3
15653,Europe,40,3
11977,Pacific,53,3
17207,Europe,59,3
12402,Europe,42,3
13650,Pacific,42,3
11224,North America,61,3
14323,Pacific,55,3
14304,Pacific,45,3
11912,Pacific,47,3
14160,Europe,43,3
13693,Europe,42,3
12645,Europe,54,3
17833,Europe,45,3
11358,Pacific,34,3
15657,Europe,52,3
19439,Europe,44,3
12988,Pacific,38,3
12676,Pacific,38,3
15134,Pacific,40,3
15624,Europe,35,3
14714,Europe,42,3
11060,Pacific,59,3
13129,Pacific,48,3
14425,Europe,44,3
12277,Europe,44,3
16588,Europe,60,3
14189,Europe,61,3
11549,Europe,39,3
12299,Europe,67,3
13541,Europe,52,3
12341,Pacific,36,3
11609,Europe,36,3
16297,Europe,44,3
15675,Europe,43,3
14260,Pacific,59,3
11919,Pacific,49,3
12688,Pacific,40,3
15127,Pacific,32,3
11472,Pacific,50,3
11465,Pacific,42,3
16046,Europe,49,3
14303,Pacific,50,3
19311,Europe,45,3
11909,Pacific,47,3
12239,Europe,70,3
14774,Europe,45,3
12994,Pacific,43,3
18141,Europe,52,3
14929,Europe,39,3
11454,Pacific,39,3
11761,Pacific,46,3
12873,Europe,38,3
14426,Europe,50,3
14064,Pacific,48,3
12292,Europe,63,3
13131,Pacific,53,3
15921,Europe,49,3
14050,Pacific,46,3
15077,Europe,43,3
12037,Pacific,69,3
16598,Europe,61,3
17949,Europe,53,3
15130,Pacific,34,3
18168,Europe,44,3
13554,Europe,43,3
13110,Pacific,45,3
12343,Pacific,38,3
13081,Pacific,56,3
13966,Pacific,47,3
11905,Pacific,43,3
13404,Europe,43,3
13646,Pacific,37,3
15354,Europe,56,3
11103,Pacific,37,3
12284,Europe,38,3
14676,Pacific,46,3
11334,Europe,52,3
17181,Europe,49,3
13970,Pacific,45,3
14102,Pacific,71,3
14046,Pacific,45,3
14301,Pacific,51,3
11907,Pacific,45,3
12612,Europe,43,3
13555,Europe,38,3
14346,Pacific,71,3
11893,Pacific,44,3
15084,Europe,38,3
12674,Pacific,37,3
15059,Europe,48,3
12683,Pacific,40,3
15627,Europe,40,3
18134,Europe,51,3
13000,Pacific,38,3
11106,Pacific,48,3
15078,Europe,38,3
17766,Europe,43,3
12694,Pacific,35,3
11398,Europe,43,3
14770,Europe,39,3
15687,Europe,67,3
14161,Europe,44,3
19365,Europe,50,3
14070,Pacific,54,3
11457,Pacific,39,3
16262,Europe,34,3
12808,Europe,44,3
14263,Pacific,59,3
11997,Pacific,47,3
13959,Pacific,43,3
15710,Europe,65,3
11075,Pacific,55,3
12222,Europe,52,3
15927,Europe,56,3
12010,Pacific,56,3
12286,Europe,43,3
16580,Europe,58,3
11010,Pacific,49,3
14286,Pacific,54,3
12317,Europe,59,3
11894,Pacific,38,3
11612,Europe,33,3
13958,Pacific,45,3
16823,Europe,54,3
11124,Pacific,50,3
11072,Pacific,58,3
16205,Europe,36,3
15118,Europe,63,3
11969,Pacific,54,3
14712,Europe,41,3
12671,Pacific,39,3
12700,Pacific,42,3
11261,North America,48,3
12356,Pacific,41,3
13128,Pacific,43,3
11896,Pacific,43,3
14525,Europe,35,3
13768,Europe,39,3
14673,Pacific,43,3
15684,Europe,63,3
13636,Pacific,42,3
16033,Europe,41,3
13051,Pacific,58,3
13558,Europe,38,3
20930,Europe,49,3
12805,Europe,44,3
15638,Europe,71,3
13584,Europe,54,3
14345,Pacific,73,3
13792,Europe,48,3
14778,Europe,45,3
20860,Europe,44,3
11050,Pacific,61,3
12335,Europe,59,3
11356,Pacific,32,3
15630,Europe,41,3
14225,Pacific,40,3
11448,Pacific,38,3
15693,Europe,58,3
12702,Pacific,41,3
12473,Europe,46,3
13967,Pacific,48,3
12667,Pacific,36,3
15697,Europe,59,3
12007,Pacific,51,3
12806,Europe,45,3
11402,Europe,43,3
11999,Pacific,52,3
11616,Europe,38,3
11026,Pacific,67,3
12742,Europe,40,3
15051,Europe,52,3
11416,Europe,68,3
12745,Europe,40,3
11995,Pacific,52,3
14183,Europe,54,3
11768,Pacific,35,3
12622,Europe,44,3
12460,Europe,44,3
13686,Europe,39,3
15082,Europe,43,3
13123,Pacific,43,3
19438,Europe,38,3
19420,Europe,53,3
11351,Europe,68,3
14672,Pacific,44,3
11061,Pacific,42,3
12689,Pacific,40,3
11485,Europe,40,3
18177,Europe,57,3
11897,Pacific,44,3
11952,Pacific,58,3
14302,Pacific,50,3
14931,Europe,44,3
14939,Europe,46,3
13078,Pacific,57,3
14033,Pacific,50,3
11357,Pacific,34,3
16196,Europe,39,3
12681,Pacific,41,3
13585,Europe,54,3
14976,Europe,50,3
11108,Pacific,49,3
13645,Pacific,42,3
12461,Europe,39,3
15047,Europe,51,3
11363,Pacific,35,3
16053,Europe,51,3
11400,Europe,38,3
18160,Europe,53,3
14210,Pacific,36,3
16824,Europe,55,3
15924,Europe,56,3
11989,Pacific,34,3
12680,Pacific,40,3
11764,Pacific,45,3
13622,Pacific,38,3
13006,Pacific,47,3
11403,Europe,38,3
12987,Pacific,38,3
12998,Pacific,39,3
14713,Europe,42,3
12263,Europe,53,3
13576,Europe,57,3
11368,Pacific,34,3
15920,Europe,55,3
11030,Pacific,60,3
18173,Europe,61,3
16566,Europe,38,3
12607,Europe,52,3
11494,Europe,42,3
12996,Pacific,42,3
12353,Pacific,34,3
14066,Pacific,50,3
11111,Pacific,51,3
12391,Europe,35,3
12002,Pacific,49,3
11038,Pacific,65,3
18140,Europe,57,3
12615,Europe,33,3
11056,Pacific,60,3
11456,Pacific,38,3
17114,Europe,36,3
12669,Pacific,37,3
14219,Pacific,38,3
15120,Pacific,37,3
12750,Europe,42,3
11917,Pacific,47,3
11032,Pacific,65,3
14279,Pacific,49,3
11898,Pacific,42,3
13010,Pacific,42,3
14322,Pacific,54,3
23539,Pacific,50,2
18736,Pacific,48,2
11327,North America,73,2
26634,North America,47,2
15201,North America,56,2
15290,North America,35,2
25106,Pacific,32,2
13527,Pacific,35,2
26521,North America,61,2
21950,Pacific,44,2
19034,Europe,56,2
15338,North America,62,2
16620,Pacific,34,2
11281,North America,44,2
13362,North America,56,2
22951,Pacific,49,2
15649,Europe,64,2
13178,North America,50,2
25113,Pacific,45,2
13220,North America,66,2
13315,North America,59,2
15467,North America,42,2
14434,North America,80,2
27287,North America,37,2
20546,North America,60,2
15834,North America,37,2
24586,Pacific,37,2
28756,Europe,42,2
15990,North America,54,2
29403,Europe,48,2
14614,North America,39,2
14979,Europe,35,2
23658,Pacific,34,2
11328,North America,73,2
24164,Pacific,35,2
20555,Europe,56,2
25895,North America,61,2
14080,North America,36,2
17478,Pacific,65,2
12547,Europe,40,2
25939,Pacific,57,2
24003,Pacific,35,2
14392,North America,65,2
20896,Europe,46,2
26751,Pacific,47,2
16275,Europe,49,2
28758,Europe,41,2
21192,Pacific,50,2
15210,Pacific,50,2
25972,North America,49,2
15351,North America,61,2
27446,North America,38,2
22765,North America,63,2
12395,Europe,36,2
17755,Europe,53,2
21974,Pacific,32,2
13715,North America,54,2
14456,North America,39,2
11189,North America,68,2
23865,North America,43,2
11934,North America,35,2
13871,North America,38,2
19285,Europe,47,2
13210,North America,67,2
21000,Pacific,35,2
17048,Pacific,32,2
17941,Europe,53,2
29265,North America,76,2
17502,Pacific,58,2
13999,North America,34,2
24309,North America,38,2
27074,North America,42,2
27621,North America,43,2
11591,Europe,49,2
11839,North America,42,2
12232,Europe,58,2
13526,Pacific,34,2
17315,Pacific,52,2
28264,North America,51,2
19271,Pacific,34,2
26305,North America,37,2
19557,Pacific,44,2
17232,Pacific,37,2
12246,Pacific,33,2
21001,Pacific,35,2
12849,Europe,44,2
13865,North America,40,2
13997,Pacific,65,2
16569,Europe,55,2
12245,Pacific,34,2
29128,North America,35,2
14471,North America,51,2
16011,North America,72,2
22170,Pacific,62,2
13369,North America,65,2
23540,Pacific,51,2
13085,North America,39,2
20989,Pacific,37,2
18167,Europe,61,2
12267,Europe,54,2
19415,Europe,47,2
18276,Pacific,45,2
24377,Pacific,39,2
18739,Pacific,46,2
13779,Europe,46,2
29412,Europe,45,2
19447,Europe,44,2
20621,Pacific,41,2
19437,Europe,38,2
26563,Pacific,60,2
26768,Pacific,55,2
19297,Europe,43,2
15781,North America,56,2
19181,Europe,40,2
15964,North America,46,2
25829,Pacific,37,2
22230,North America,56,2
13836,Europe,37,2
13915,North America,43,2
15015,Pacific,62,2
22748,North America,66,2
28506,Europe,52,2
16836,North America,47,2
12023,North America,34,2
28131,North America,40,2
15953,North America,79,2
15460,Europe,65,2
25938,Pacific,63,2
20886,Europe,46,2
26567,Pacific,52,2
11083,North America,41,2
13446,North America,51,2
26328,North America,43,2
19949,Pacific,36,2
25104,North America,53,2
20592,Europe,63,2
23652,Pacific,39,2
18189,Pacific,36,2
15785,Pacific,51,2
18027,Europe,40,2
16654,North America,34,2
15523,North America,49,2
25562,Pacific,33,2
27117,North America,46,2
11587,Europe,43,2
26027,Pacific,43,2
23098,Pacific,57,2
16155,Pacific,44,2
24172,Pacific,33,2
20590,Europe,64,2
28869,North America,35,2
28846,North America,44,2
24596,Pacific,39,2
16688,Pacific,51,2
20850,Europe,37,2
20812,Pacific,33,2
16388,Europe,38,2
18212,Pacific,42,2
12572,Pacific,32,2
25011,Pacific,65,2
23321,Pacific,62,2
17889,Europe,54,2
14888,North America,52,2
12883,North America,41,2
25560,Pacific,34,2
20890,Europe,46,2
15750,North America,34,2
20992,Pacific,33,2
26499,North America,65,2
21266,North America,35,2
26607,North America,49,2
17918,Pacific,34,2
11815,North America,37,2
19255,Europe,58,2
13894,North America,44,2
15845,North America,44,2
21029,Europe,43,2
18245,Pacific,45,2
18724,Pacific,34,2
16702,Pacific,45,2
28751,Europe,35,2
19588,Pacific,44,2
18204,Pacific,39,2
11290,North America,46,2
25564,Pacific,35,2
13142,North America,38,2
17943,Europe,48,2
15621,Europe,39,2
15590,Pacific,44,2
18464,Pacific,60,2
12253,Pacific,36,2
12084,North America,65,2
23656,Pacific,35,2
15585,Pacific,40,2
11274,North America,79,2
18157,Europe,60,2
17280,Pacific,38,2
18462,Pacific,61,2
20879,Europe,39,2
13273,North America,80,2
26339,North America,46,2
15846,North America,39,2
15619,Europe,40,2
25981,North America,49,2
23545,Pacific,55,2
14610,North America,49,2
18255,Pacific,42,2
15865,North America,42,2
14879,North America,46,2
15188,North America,39,2
18284,Pacific,46,2
17977,Europe,44,2
12881,North America,39,2
14010,Pacific,62,2
19442,Europe,33,2
23662,Pacific,36,2
16313,Europe,35,2
26647,North America,49,2
15906,North America,62,2
14242,North America,70,2
29252,North America,51,2
13730,North America,57,2
13545,Europe,42,2
17085,Europe,39,2
19503,Europe,51,2
14292,North America,50,2
11773,North America,39,2
26028,Pacific,38,2
19427,Europe,43,2
12120,North America,60,2
13314,North America,52,2
26581,North America,39,2
23267,North America,52,2
15221,Pacific,43,2
14541,Europe,54,2
25974,North America,44,2
13436,North America,50,2
13733,North America,56,2
12450,North America,54,2
16561,Europe,36,2
17641,Europe,42,2
15371,North America,57,2
16159,Pacific,38,2
19443,Europe,56,2
23993,Pacific,32,2
12885,North America,36,2
21104,Europe,49,2
15904,North America,63,2
29391,Europe,46,2
15454,Europe,57,2
25706,Pacific,34,2
17933,Europe,51,2
19586,Pacific,44,2
19436,Europe,43,2
26437,Pacific,39,2
13886,North America,42,2
17942,Europe,48,2
21065,Europe,34,2
14755,North America,55,2
20862,Europe,38,2
19256,Europe,52,2
13382,North America,58,2
12058,North America,69,2
12021,Pacific,67,2
18483,Pacific,47,2
23097,Pacific,62,2
14133,Pacific,35,2
15756,Pacific,44,2
14336,North America,34,2
18931,Pacific,56,2
15780,North America,50,2
16657,Pacific,58,2
11727,North America,45,2
17743,Europe,35,2
18465,Pacific,55,2
13438,North America,49,2
12771,North America,52,2
